title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,job_category,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,requirements
Práctica Digitalizaciones SSO,Otra Área,"Ovalle, Coquimbo, Chile",Ovalle,Coquimbo,2026-05-29,6075755,ccu,2026-07-16,2026-07-17,0.4421,Práctica,,Jornada Completa,CCU,Universitaria,Chile,0,2026-07-28,https://www.trabajaenccu.cl/trabajo/6075755-practica-digitalizaciones-sso,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de estudiantes de Ingeniería Civil Informática, Ingeniería Civil Industrial o Ingeniería en Control de Gestión, para el área de Prevención de Riesgos en nuestra oficina ubicada en Ovalle.
Funciones:
Levantamiento y Diagnóstico
Diseño de la Solución
Desarrollo e Integración
Pruebas y Marcha Blanca
Capacitación y Gestión del Cambio
Requisitos:
Conocimientos Técnicos de Desarrollo y Automatización 
Conocimientos de Gestión, Análisis de Datos y Reportabilidad
Conocimientos de Administración de Sistemas e Infraestructura (IT Admin)
Contar con seguro escolar.
Disponibilidad para realizar la práctica 2 meses desde Julio
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Conocimientos Técnicos de Desarrollo y Automatización 
Conocimientos de Gestión, Análisis de Datos y Reportabilidad
Conocimientos de Administración de Sistemas e Infraestructura (IT Admin)
Contar con seguro escolar.
Disponibilidad para realizar la práctica 2 meses desde Julio"
Práctica Excelencia Operacional y Automatización de Procesos,Otra Área,"Ovalle, Coquimbo, Chile",Ovalle,Coquimbo,2026-05-29,6075764,ccu,2026-07-16,2026-07-17,0.4397,Práctica,,Jornada Completa,CCU,Universitaria,Chile,0,2026-07-28,https://www.trabajaenccu.cl/trabajo/6075764-practica-excelencia-operacional-y-automatizacion-de-procesos,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de estudiantes de Ingeniería en Control de Gestión, Ingeniería en Información y Control de Gestión, Ingeniería en Informática o Computación, para el área de Operaciones en nuestra oficina ubicada en Ovalle.
Funciones:
Levantamiento y diagnóstico de procesos: Analizar el flujo actual de las tareas administrativas del negocio para identificar ""cuellos de botella"", duplicidad de funciones y oportunidades de mejora.
Diseño e implementación de automatizaciones: Crear flujos de trabajo automatizados utilizando herramientas nuevas de trabajo y macros para reducir el trabajo manual en tareas repetitivas (gestión de correos, Traspaso de datos, etc.)
Desarrollo de herramientas de gestión: Diseñar y configurar tableros de control (Dashboards) interactivos y planillas inteligentes para el monitoreo en tiempo real de indicadores clave (inventario, gastos/compras, proveedores, contratos).
Capacitación y documentación: Elaborar manuales simples de uso de las nuevas herramientas creadas y capacitar al equipo en la adopción de los nuevos procesos digitales.
Requisitos:
Excel / Google Sheets: Nivel avanzado (Tablas dinámicas, fórmulas complejas ,etc.)
Manejo intermedio de Power BI o Google Looker Studio.
Herramientas de automatización
Contar con seguro escolar.
Disponibilidad para realizar la práctica 3 meses desde Julio
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Excel / Google Sheets: Nivel avanzado (Tablas dinámicas, fórmulas complejas ,etc.)
Manejo intermedio de Power BI o Google Looker Studio.
Herramientas de automatización
Contar con seguro escolar.
Disponibilidad para realizar la práctica 3 meses desde Julio"
Mantenedor/a Experto/a Mecánico A  - Renca,Otra Área,"Renca, Metropolitana de Santiago, Chile",Renca,Metropolitana de Santiago,2026-05-29,6075964,ccu,2026-07-16,2026-07-17,0.4263,Operario,,Jornada Completa,CCU CHILE,Técnico profesional superior,Chile,1,2026-07-28,https://www.trabajaenccu.cl/trabajo/6075964-mantenedor-a-experto-a-mecanico-a-renca,,"Con una amplia gama de marcas de bebestibles y experiencias, mejoramos y acompañamos distintos momentos de la vida, guiados por nuestros principios, en beneficio de las personas con las que nos relacionamos y el cuidado del medio ambiente.
Estamos buscando a un Mantenedor/a Experto/a Eléctrico para desempeñarse en nuestra planta Quilicura
Principales funciones:
 Ejecutar los programas de mantención preventiva para asegurar el funcionamiento de los procesos productivos, manteniendo un registro riguroso de actividades realizadas y pendientes en el sistema.
Realizar inspecciones preventivas y predictivas a nivel mecánico, oleohidráulico y neumático para evitar detenciones imprevistas.
 Levantar anomalías y oportunidades de mejora utilizando herramientas TPM (tarjetas, miniproyectos) y registrar los avisos/órdenes correspondientes en SAP.
 Analizar las fallas de los equipos para garantizar reparaciones efectivas y definitivas basadas en diagnósticos certeros.
 Mantener una comunicación fluida con el equipo (reportes, turnos) y transferir conocimientos técnicos a compañeros para asegurar la continuidad de los procesos.
Requisitos
Técnico de Nivel de Superior Electrónica Industrial/ Automatización industrial, Ingeniero en Ejecución o carreras afines.
Desde 1 año de experiencia.
Conocimientos ténicos de: programación de PLC, intrumentación, sensores, variadores de frecuencia, señales análogas, HMI o pantallas industriales.
Disponibilidad para realizar turnos rotativos.
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.","Técnico de Nivel de Superior Electrónica Industrial/ Automatización industrial, Ingeniero en Ejecución o carreras afines.
Desde 1 año de experiencia.
Conocimientos ténicos de: programación de PLC, intrumentación, sensores, variadores de frecuencia, señales análogas, HMI o pantallas industriales.
Disponibilidad para realizar turnos rotativos."
Práctica Investigación de mercado - Las Condes,Otra Área,"Las Condes, Metropolitana de Santiago, Chile",Las Condes,Metropolitana de Santiago,2026-05-29,6075953,ccu,2026-07-16,2026-07-17,0.494,Práctica,,Práctica,CCU CHILE,Universitaria,Chile,0,2026-07-28,https://www.trabajaenccu.cl/trabajo/6075953-practica-investigacion-de-mercado-las-condes,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de un/una estudiante de Ingeniería Comercial o Ingeniería Civil para realizar su práctica en el área de Inteligencia de Mercado en nuestro Edificio Corporativo en Las Condes.
Funciones:
Estudios y Proyectos específicos.
Preparación de informes
Búsqueda de información
Realización de estudios en plataforma interna de estudios.
Apoyo en las distintas instancias del proceso directivo de Modelo de Preferencia.
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Contar con seguro escolar.
Disponibilidad para 6 meses
Manejo de Excel avanzado"
Gruero/a Operario - Plasco,Otra Área,"Renca, Metropolitana de Santiago, Chile",Renca,Metropolitana de Santiago,2026-05-29,6075963,ccu,2026-07-16,2026-07-17,0.4648,Operario,,Por Turnos,CCU,Media,Chile,1,2026-07-28,https://www.trabajaenccu.cl/trabajo/6075963-gruero-a-operario-plasco,,"En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Con una amplia gama de marcas de bebestibles y experiencias, mejoramos y acompañamos distintos momentos de la vida, guiados por nuestros principios, en beneficio de las personas con las que nos relacionamos y el cuidado del medio ambiente. De esta manera, estamos comprometidos con la Diversidad e Inclusión, ya que consideramos que son valores fundamentales para el crecimiento sustentable de la organización y que nos permiten poner en práctica nuestro propósito.
Estamos en la búsqueda de Operadores de Grúa Horquilla para nuestra planta en Renca, con al menos 1 año de experiencia.
Tendrás como principal responsabilidad:
 Realizar conteos, registros y movimientos de pallets, cajas y embalajes según los protocolos internos y solicitudes de la jefatura.
Verificar, contar y registrar el producto terminado y la materia prima recibida (producción/proveedores), asegurando el cumplimiento de normas de calidad e inocuidad.
Entregar materias primas y materiales a las áreas de Soplado e Inyección en los horarios establecidos.
Retirar embalajes vacíos, mermas, purgas y residuos para mantener la fluidez operativa y apoyar al área de molino.
Almacenar, optimizar espacios y reordenar productos en bodega, previniendo daños o pérdidas y manteniendo el orden y la limpieza.
¡En CCU te cuidamos! Nuestros establecimientos cuentan con altos estándares de seguridad e higiene para proteger a todas las personas que forman parte de nuestra compañía.
 
Te invitamos a SER CCU y postular a esta gran oportunidad.","Estudios mínimos de Enseñanza Media Completa.
Licencia clase D.
Conocimiento en logística con al menos 1 año manejando grúa horquilla.
Disponibilidad para trabajar por turnos rotativos (tarde, mañana, noche)."
Práctica Televentas - Renca,Otra Área,"Renca, Metropolitana de Santiago, Chile",Renca,Metropolitana de Santiago,2026-05-28,6075157,ccu,2026-07-16,2026-07-17,0.4782,Práctica,,Práctica,CCU,Universitaria,Chile,0,2026-07-27,https://www.trabajaenccu.cl/trabajo/6075157-practica-televentas-renca,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de un/a estudiante de Ingeniería Comercial, Ingeniería Civil Industrial o Ingeniería Informática, Ingeniería en Administración de Empresas o afín para realizar su práctica profesional en el Área de Televentas en nuestra Planta Ecusa en Renca.
Funciones:
Generar reportes diarios y mensuales.
Ingreso de documentos.
Seguimiento y visualización de KPIs comerciales
Análisis de ventas y presupuesto.
Requisitos:
Contar con seguro escolar.
Disponibilidad de 6 meses.
Excel intermedio.
SQL básico.
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡¡Te invitamos a SER CCU!!","Contar con seguro escolar.
Cursar un máximo de 3 ramos durante la práctica
Excel y SQL"
Práctica Transformación Digital y Automatización RRHH,Otra Área,"Las Condes, Metropolitana de Santiago, Chile",Las Condes,Metropolitana de Santiago,2026-05-28,6075139,ccu,2026-07-16,2026-07-17,0.5601,Práctica,,Práctica,CCU,Universitaria,Chile,0,2026-07-27,https://www.trabajaenccu.cl/trabajo/6075139-practica-transformacion-digital-y-automatizacion-rrhh,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de un/una estudiante de Ingeniería Civil Industrial, Ingeniería Informática / Ciencia de Datos, o Ingeniería Comercial con una marcada pasión y perfil técnico en analítica y automatización para realizar su práctica en el área de Desarrollo de Personas y Organización (DPO) en Las Condes
Funciones:
Liderar iniciativas de transformación digital interna del equipo DPO mediante automatización de procesos operativos y optimización de flujos de trabajo.
Diseñar, desarrollar e implementar automatizaciones utilizando herramientas del ecosistema Google Workspace e Inteligencia Artificial Generativa.
Estructurar y optimizar bases de datos operacionales y flujos de reportería para apoyar la toma de decisiones estratégicas.
Mapear y analizar procesos entre practicantes, socios de RRLL y líderes de operaciones, identificando oportunidades de mejora continua y eficiencia operacional.
Aplicar iniciativas de reingeniería y automatización de procesos bajo la filosofía de mejora continua y eficiencias (Ruta TPM).
Requisitos:
Seguro escolar.
Disponibilidad por 6 meses
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador para contribuir a un mejor vivir. Agradecemos que nos indiques si necesitas alguna adaptación en el proceso de postulación.
¡Te invitamos a SER CCU!","Seguro escolar vigente.
Disponibilidad por 6 meses"
Práctica en Inteligencia y Desarrollo Comercial - Las Condes,Otra Área,"Las Condes, Metropolitana de Santiago, Chile",Las Condes,Metropolitana de Santiago,2026-05-27,6074686,ccu,2026-07-16,2026-07-17,0.5105,Práctica,,Jornada Completa,CCU,Universitaria,Chile,0,2026-07-26,https://www.trabajaenccu.cl/trabajo/6074686-practica-en-inteligencia-y-desarrollo-comercial-las-condes,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de estudiantes de Ingeniería Comercial, Ingeniería Civil o Ingeniería en Información y Control de Gestión, para el área de Trade Marketing en nuestra oficina ubicada en Las Condes.
Funciones:
Apoyar en la actualización y mejora de dashboards del equipo, facilitando la visualización y seguimiento de información clave.
Colaborar en el seguimiento de la segmentación de clientes, apoyando la correcta clasificación según los ajustes solicitados por los
equipos de venta.
Identificar oportunidades de mejora en procesos y reportes del área, proponiendo ideas que ayuden a optimizar la gestión.
Apoyar en el análisis de indicadores comerciales y de mercado, contribuyendo al seguimiento de resultados y desempeño de la
compañía.
Requisitos:
Nivel de Excel Intermedio - Avanzado
Manejo deseable Looker Studio, SQL, Big Query 
Contar con seguro escolar.
Disponibilidad de 6 meses 
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Nivel de Excel Avanzado
Contar con seguro escolar."
Práctica Regularización Ambiental - Temuco,Otra Área,"Temuco, La Araucanía, Chile",Temuco,La Araucanía,2026-05-26,6073991,ccu,2026-07-16,2026-07-17,0.4551,Práctica,,Jornada Completa,CCU,Universitaria,Chile,0,2026-07-25,https://www.trabajaenccu.cl/trabajo/6073991-practica-regularizacion-ambiental-temuco,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de un/a estudiante de Ingeniería en medio ambiente o afín para realizar su práctica en el área de administración en nuestra Planta en Temuco.
Funciones:
Confeccionar carpetas para ingresar solicitud a SEREMI de salud
Agregar documentos al SIG, para incorporar el área de Medio Ambiente
Capacitar a las personas de los distritos respecto a procedimientos y funcionamiento del SIG.
Habilitar plataforma de ventanilla única y generar declaraciones
Investigar métodos para valorización de residuos que se generan actualmente en cada instalación.
Requisitos:
Disponibilidad por 4 meses.
Seguro escolar vigente.
Conocimiento de Normativas ambientales
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Disponibilidad por 4 meses.
Seguro escolar vigente."
"Práctica Control, Gestión de Activos y Área comercial - Melipilla",Otra Área,"Melipilla, Metropolitana de Santiago, Chile",Melipilla,Metropolitana de Santiago,2026-05-26,6074026,ccu,2026-07-16,2026-07-17,0.4489,Práctica,,Práctica,CCU S.A,Universitaria,Chile,0,2026-07-25,https://www.trabajaenccu.cl/trabajo/6074026-practica-control-gestion-de-activos-y-area-comercial-melipilla,,"¡En CCU nos apasiona crear experiencias para compartir juntos un mejor vivir!
Nos encontramos en búsqueda de un/una estudiante de Ingeniería en Gestión Logística o Ingeniería en Administración de Empresas para realizar su práctica en el área de Ventas de CCU Melipilla.
Funciones: 
Control y gestión de inventario de activos 
Reportes mensuales de cuadraturas de activos
Seguimiento de implementaciones para el correcto uso de los activos
Control de POP y seguimiento de innovaciones
Envío de reportería
Requisitos: 
Disponibilidad para 3 meses desde Julio.
Contar con seguro escolar.
Manejo de excel intermedio.
Nuestro SER CCU nos inspira a trabajar con aceptación y respeto a las diferencias de las personas, promoviendo un entorno diverso e integrador, para así contribuir a un mejor vivir. Por esto, te agradecemos que nos compartas si necesitas adaptación en alguna etapa del proceso de postulación.
¡Te invitamos a SER CCU!","Disponibilidad para 3 meses desde Julio.
Contar con seguro escolar.
Manejo de excel intermedio."
